"ALL TISSUES, SINGLE FREQUENCY","FREQUENCY = ",10000,"Hz"
"Tissue","Frequency","Conductivity","Relative","Loss","Wavelength","Penetration",
Oesophagus        ,   1.0000e+4,   5.2973e-1,   8.6987e+3,   1.0947e+2,   4.3250e+1,   6.9466e+0,
Ovary             ,   1.0000e+4,   3.3020e-1,   9.8525e+3,   6.0244e+1,   5.4576e+1,   8.8314e+0,
Pancreas          ,   1.0000e+4,   5.2974e-1,   9.1897e+3,   1.0362e+2,   4.3238e+1,   6.9483e+0,
Prostate          ,   1.0000e+4,   4.2976e-1,   1.1683e+4,   6.6124e+1,   4.7874e+1,   7.7354e+0,
Retina            ,   1.0000e+4,   5.1028e-1,   1.0646e+4,   8.6163e+1,   4.4012e+1,   7.0865e+0,
SkinDry           ,   1.0000e+4,   2.0408e-4,   1.1336e+3,   3.2362e-1,   8.7927e+2,   8.8692e+2,
SkinWet           ,   1.0000e+4,   2.9317e-3,   2.9010e+4,   1.8166e-1,   1.7530e+2,   3.0968e+2,
SmallIntestine    ,   1.0000e+4,   5.5967e-1,   4.3054e+4,   2.3367e+1,   4.1375e+1,   6.8729e+0,
SpinalCord        ,   1.0000e+4,   4.2403e-2,   3.5569e+4,   2.1429e+0,   1.2255e+2,   3.0626e+1,
Spleen            ,   1.0000e+4,   1.1081e-1,   1.3891e+4,   1.4338e+1,   9.1745e+1,   1.5656e+1,
Stomach           ,   1.0000e+4,   5.2973e-1,   8.6987e+3,   1.0947e+2,   4.3250e+1,   6.9466e+0,
Tendon            ,   1.0000e+4,   3.8635e-1,   5.3359e+3,   1.3015e+2,   5.0680e+1,   8.1282e+0,
Testis            ,   1.0000e+4,   4.2976e-1,   1.1683e+4,   6.6124e+1,   4.7874e+1,   7.7354e+0,
Thymus            ,   1.0000e+4,   5.2974e-1,   9.1897e+3,   1.0362e+2,   4.3238e+1,   6.9483e+0,
Thyroid           ,   1.0000e+4,   5.2974e-1,   9.1897e+3,   1.0362e+2,   4.3238e+1,   6.9483e+0,
Tongue            ,   1.0000e+4,   2.7975e-1,   1.0681e+4,   4.7083e+1,   5.9156e+1,   9.6170e+0,
Tooth             ,   1.0000e+4,   2.0430e-2,   5.2164e+2,   7.0402e+1,   2.1967e+2,   3.5462e+1,
Trachea           ,   1.0000e+4,   3.1066e-1,   2.5442e+4,   2.1950e+1,   5.5458e+1,   9.2376e+0,
Uterus            ,   1.0000e+4,   5.1441e-1,   2.8525e+4,   3.2417e+1,   4.3415e+1,   7.1262e+0,
Vacuum            ,   1.0000e+4,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9979e+4,"N/A",
VitreousHumor     ,   1.0000e+4,   1.5000e+0,   9.8919e+1,   2.7258e+4,   2.5819e+1,   4.1094e+0,
